bottomless	اتھاہ اگم بے پیندہ
blockage	رُکاوٹ
rickshaw	رِکشا
membership	رُکنیت رکنیت
rid	رکُوب رکیب سواری ہلاکت سہانا سخت باہر آزاد کرنا چھٹکارا دلانا نجات
genuflexion	رُکوع
disgraceful	رکیک اوچھا قبیح شرمناک
indifferent	رُکھانا رُوکھا روکھاسا سرددل لااُبالی بے حس پرواہ غیر جانب دار گھٹیا مست سرد مہر
unintereste	رُکھانا سُوکھا سِیٹھا بے لطف غیر دلچسپ
auger	رُکھانی سُوجا
incivility	رُکھائی بد تہذیبی
engage	رکھنا مخطوب مُنہمِک نِرت مشغول مصروف عہد کرنا اٹکانا منگنی
fibre	رگ ریشہ
waywardness	رگ آوارگی البیلا پن خود سری
scour	رگڑا رگید فرسا کُھرچنا مانجنا مٚنجھا مِینجنا نورد نوردی چمکانا غلاظت دور کرنا صاف
abrade	رگڑنا کُھرچائی کُھرچنا گِھسا
chafe	رگڑنا فرسا
elopement	رم
rum	رم انوکھا بے ڈھنگا
ream	رِم جھاگ دار رددہ پھین اٹھنا نکالنا بنانا
enigmatist	رمّاز
geomancer	رمّال
rumba	رمبا
conjunctivitis	رمد
ramazan	رمضان
jot	رمق سرسری طور پر لکھنا کنی نقطہ ریزہ تل ذرہ
geomancy	رمَل
park	رمنا پارک باغ باغیچہ
witty	رمیز ظرِیف ظرِیفانہ مذاقِیہ نز نمکین بذلہ سنج ہوشیار شوخ تیز فہم ذکی ظریف
priming	رنجک
reprobate	رِند گمراہ ناکام نیچ تباہ
freethinker	رِند آزاد خیال رند
freethinke	رِندی آزاد خیال
booze	رِندی شراب
weepy	رُنکھّا رونی بسورتا ہوا روتا
mood	رنگ کروٹ مِزاج من دل جگ حال کیفیت مزاج طبیعت
coloured	رنگا مُصبّغ مُلوّن رنگین رنگ دار
dyer	رنگارا رنگی صبّاغ رنگ ریز
dyeing	رنگاوٹ
recruit	رنگروٹ نوملازم نیا بھرتی کرنا
florid	رنگیلا رنگین پھول سے لدا
ornate	رنگیلا رنگین آراستہ مذین
multi	رنگین فلو ملین اربین ارب دیکر کثیر الذرائع
ornateness	رنگینی
allowable	روا واجِبی ہِبہ جائز مباح اجازت دینا مان لینا
condescend	روادار مُتواضِع نِہُڑنا با اخلاق جھکا ہوا منکسر دبنا جھکنا فرو تنی کرنا انکسار
indulgent	روادار نرم دل
customarily	رِواجاً
stoic	رِواقی
stoicism	رِواقیت شانتی
granular	روال دانے دار
cowpea	رواں
smoothly	رواں
briskly	رواں لپالپ جلد جھپا جھپ
traditionally	رِوایتاً
traditional	رِوایتی سماعی سناتن نقلی پیڑہی در رواجی روایتی
masquerade	رُوپ سوانگ بہروپ میلہ
handsomeness	رُوپ حسن خوبی خوش روئ جمال وجاہت
silvery	رُوپا رُوپہلی سِیمی سِیمیں نُقرئی براق نقرہئ رپہلا سیمیں
transplant	روپنا پیوند لگانا
betrothal	روپنا سگائی شگُون مانگ نِسبت منگنی بات نسبت
sulk	رُوٹھنا روٹھنا
spiritualism	رُوحانیت
bowstring	رودہ زِہ
brickbat	روڑا کتّل گُمّا
chap	رُوڑھا چاک کرنا کاٹنا شق تڑکانا مرد خدا
everyday	روزمرّہ
colloquial	روزمرّہ روز مرہ
lend	روزہ عارِیتی وام بخشنا دینا کرائے پر ادھار قرض
russia	رُوس روسیا
russian	رُوسی روسیا
culprit	رُوسیاہ مُجرِم عاصی خطا کار مجرم
candescent	رَوشن
ink	رَوشنائی زکاب سِیاہی کالی مِداد رنگ چسب مرکب روشنائ سیاہی
torch	رَوشنک مشعل مشعلچی
mausoleum	رَوضہ عتبہ مزار مقبرہ روزہ
glossiness	رَوغن
buttery	رَوغنی
cashier	روکڑیا فوتہ دار خزانچی
withhold	روکنا روکے رکھنا واپس نہ کرنا
unsympathetic	رُوکھا نامہربان روکھا
unseasoned	رُوکھا
unbuttered	رُوکھا
plague	روگ طاعُون مُتصدِّع مری وبا وبال آزار دینا دق کرنا تاون
byzantium	رُوم
moss	روم کائی کائ بھرا پرانا قدیم
napkin	رُومال گمچھا دست مال کاغذی یا کپڑے کا رو
sudarium	رُومال
romance	رُومان افسانہ فسانہ عشق قصہ
romantic	رُومانی بے لگام فرضی خود ساختہ
roman	رومانی رُومی رومن
romanticism	رُومانویت رُومانیت
byzantinian	رُومی
goer	روِندہ
rut	رُوہڑ لِیک
trachoma	روہے
sighting	رُویت
disengaged	رِہا مُعطّل فارغ
routine	رہٹی مُزاولت معمول روت عادت اسلوب بندھا ٹکا
highwayman	رہزن لُٹیرا ڈکیت لٹیرا قزاق
rumpus	رُہلا شِلتاق مانمت افراتفری ہنگامہ ادھم
lifestyle	رہن مُعاشرت طرز زندگی
magnate	رئیس عظیم امیر بڑا آدمی کبیر وجیہ
dissimulation	رِیا ریاکاری زُور مُنافقت
hypocritically	ریاکارانہ مُنافقانہ
practise	رِیاضتی ورزی ونت عمل کرنا انجام دینا مشق
mathematic	رِیاضی ریاضی
thrum	ریتنا بے تک گانا گن گنانا
rasp	ریتنا سوہان رندہ
soapwort	رِیٹھا
windy	رِیحی ہوائی بادی ہوا دار طوفانی
lax	رِیخ ڈھیلا غیر مضبوط ناپختہ نااستوار سست
interstice	ریخ درز درمیانی خلا خالی جگہ شگاف وقفہ
spoilage	ریڑھ
pushcart	ریڑھا
barrow	ریڑھی پہاڑی ٹیلا
rheum	رِیم
pustulous	رِیمی
rheumy	رِیمی
hee	رَینک زفیر
bray	رَینکنا ڈھین چن کرنا کچلنا کوٹنا پیسنا
creep	رینگنا سلسلانا کِلبِل گھسنا کلبلانا
sciatica	رینگنی
nocturnal	رَینی شبانہ شبینہ
nightly	رَینی شبانہ شبینہ راوتر راتب رات شب راتانہ
shoal	ریو مچھلیوں کا گروہ جھرمٹ چھچھلا
brackish	ریہڑ کھارا لُونی لُونیا نمکین شور
vitriol	زاج روح طوطا ذاج سخت طنز آمیز
tsar	زار
plight	زاری گت ہائی قسم وعدہ حالت مصیبت نوبت پرت صورت تہہ اٹھانا کرنا
tsarina	زارِینہ
zal	زال
whoremonger	زانی واہی
angular	زاوِیائی کونےدار
zawiya	زاویہ
abstinent	زاہِد تائب معتدل پارسا زاہد
horoscope	زائچہ زِیچ کُنڈلی جنم پتری طالع
redundant	زائِد فالتو فضول وافر زائد
superfluous	زائِد فُضُول فالتو فاضل زائد
perish	زائِل ضائع ہالِک ہلاک برباد کرنا ہونا
verbally	زُبانی قَولاً لفظاً لفظوں میں زبانی
cream	زُبدہ موتیا ملائ ذبدہ
sufficiently	زِبس
plentifully	زِبس
psalm	زبُور مزامیر مزمُور
tattler	زٹلّی گپیّ
unusable	زٹیل
glassware	زُجاج
disquiet	زحمتی
casualty	زخمی واقعہ
productiveness	زرخیزی
fertility	زرخیزی
zardozi	زردوزی
goldsmith	زرگر سُنار فتّان سادہ کار سنار زر گر
gilded	زرنگار سُنہرا مُذہّب مُطلّا مُکلّل زر نگار
outstanding	زرِیافتنی نِرالا فاروق براست مختص اعلی بقایا مشور ممتاز
husbandry	زِراعت کِسنئی کھیتی باڑی
agriculture	زِراعت کِسنئی کشاورزی کھیتی گِرہستی باڑی کاشت کاری زراعت
agrarian	زِراعتی زرعی
agricultural	زِراعتی زرعی زرعاتی
duplicitous	زرّاق
devious	زرّاق کَیدی بعید دور گمراہ پھیر دار
chemist	زرّاق عطّار دوا ساز کمیا گر
zoroaster	زرتُشت
zoroastrian	زرتُشتی گبر
carrot	زردک گاجر گجر گذر گزر
zarda	زردا
paleness	زردی
glaucoma	زرَق
zari	زری
hideous	زِشت بھیانک دہشت ناک ڈراؤنا ہولناک ہیبت انگیز خطرناک مکروہ مہیب پرہیبت پرہول زشت
repulsiveness	زِشتی گھنائوناپن
overconfidence	زُعم
guarantor	زعیم کفیل ضامن ذمہ دار
accountable	زعیم تابع احتساب ذمہ دار
charcoal	زُغال کوئلا کوالہ
cactus	زقُوم ناگ پھنی تھوہر
discomfiture	زک ہار مایوسی پریشانی شکست
blameless	زکی مُنزّہ نِردوش بے گناہ پاک
tress	زُلف کیس گیسو لٹ زلف
ephemeral	زمانی وقتی فانی روز مرہ
temporary	زمانی عارِضی کچّی لمحاتی مُوقّت مِہمان ناپائیدار ہنگامی عارضی چند روزہ
pincer	زمبُور زنبور مِنقاش سنسی
gelid	زمہریری
zamindar	زمیندار
landholder	زمیندار مالگُزار حامل جاگیر دار قابض زمین صاحب جائداد
zamindari	زمینداری
whoosh	زن زُوں شائیں
zoom	زنّاٹا بڑا کر کے دکھانا تصویر کو چھوٹا کرنا سیدھا اوپر چڑھنا یا تیز بھن بھناہٹی آواز نکالنا
whizz	زنّاٹا
marital	زناشَوئی ازدواجی ذوجی
effeminate	زنانہ ہِیز
zenana	زنانہ
womanish	زنانہ زن صفت
feminine	زنانی نِسوانی زنانہ مونث
fusil	زنبور
fusilier	زنبورچی
serial	زنجیرا
zend	زند
verdigris	زنگار زہریلا مرکب
accretion	زوائِد
angle	زوایا شِکار کُھونٹ نوک زاویہ گوشہ کونا
wifehood	زَوجیت
fie	زُوف چھی پھٹ توبہ
hyssop	زُوفا
ledge	زِہ
mysticism	زُہد طریقت تصوف
aphrodite	زُہرہ
ziarat	زِیارت
ornamental	زیبائشی آرائشی مذین زیبا
decorative	زیبائشی آرائشی
olive	زَیتُون سانولا امن کی نشانی زیتوں کا تیل زیتون
perspicacious	زِیرک صرّاف مُبصِّر صاحب ادراک تیز نگاہ ذکی زیرک
jeera	زِیرہ
zeera	زِیرہ
distortion	زَیغ بگاڑ کجی تحریف
staircase	زِینہ نردبان سیڑہی زینہ
hoar	ژالہ
profound	ژرف گمبھیر گہرا گہری عمیق متبحر
profoundness	ژرف
unkempt	ژولیدہ بلا کنگھی بکھرا غیر مہذب
dishevelled	ژولیدہ بکھرا مو
ferocious	ژِیاں وحشی ڈراؤنا درشت ہیبت ناک خوں خوار
rapacious	ژِیاں زیاں
formidable	ژِیاں مہال مُہِیب عظیم مہیب
sambar	سابر سانبھر
chamois	سابر سانبھر گرل
seventh	سابع ساتوِیں ہفتُم ساتواں
seventhly	سابِعاً
heretofore	سابِقاً ماضیہ اب سے پہلے تک پیش تر سابقاً
prefix	سابِقہ
seven	سات سبع ست مُسبّع ہفت فوری
hider	ساتِر
inclusive	ساتھ شامِل مُتضمِّن مع لغایت مشتمل شامل
shareholder	ساجھی سہامدار
quadrangle	ساحت کٹرا مُربّع چہار گوشہ چوکور مربع مستطیل
sorcerous	ساحِرانہ
beach	ساحِل سواحِل شاطی ساحل
coastal	ساحِلی
structuralism	ساختیات
sixthly	سادِساً
naiveness	سادگی
candidness	سادگی
unaffectedness	سادگی
sadism	سادِیت ظلم پسندی
mynah	سار
perfumed	سارا عنبربار مُبخّر مشموم مُطیّب مُعطّر
charioteer	سارتھی
achieve	سارنا حاصل کرنا نباہنا پانا پورا تعمیل تیر مارنا
peacock	سارنگ طائوُس کیکی مور طاؤس
boatswain	سارنگ گلہیّا
sari	ساری ساڑھی
percolate	ساری نچوڑنا ٹپکانا
saree	ساڑھی
moulder	ساز آٹا گل جانا مٹی ہونا ذائل
supportive	سازگار حامی
collusion	سازِش گٹھ جوڑ سازش
confederacy	سازِش سٹ شِراکت مِیثاق شرکت
collusive	سازِشی
intriguing	سازِشی لُقّا حرفتی
sasan	ساسان
smite	ساسنا مارنا پیٹنا ذلیل کرنا
clock	ساعت گھڑیال گھنٹال گھڑی گھنٹہ
diligent	ساعی سرگرم انتھک چوکس محنتی
shank	ساق پنڈلی
barmaid	ساقن
bartender	ساقی کلال
tranquil	ساکِن مُطمئن نِیوا
undisturbed	ساکِن
saag	ساگ
sal	سال نوشادر نمک
mortise	سال
captain	سالار کپتان
annual	سالانہ سالِیانہ سنوی
annually	سالانہ
sarsaparilla	سالسا عُشبہ
sufi	سالِک سَیلانی صُوفی مشائخ
molecular	سالماتی
molecule	سالمہ
veterinary	سالوتری جانوروں کی دوا سلوتری بتار مویشیوں کا معالج
yearly	سالِیانہ سالانہ ہرسال سنوی
imperialism	سامراج سامراجیت
samaritan	سامری
listener	سامِع مُخاطب مستمِع نِیوش سامع
hearer	سامِع شِنوا مستمِع نِیوش نِیوشِندہ سامع شنوا
feudal	سامنتی
semitic	سامی
nightfall	سانجھ عِشا آغاز شب دن کا اختتام رات کی آمد شام
factual	سانچا سچ واقعاتی
manacle	سانکر ہتھکڑی بیڑی ہتھ کڑی لگانا
narrow	سانکری سکیت ضِیق عسیر کمینہ کوتاہ پتلا تنگ تض محدود مبہم اوچھا پن کم ظرفی نظری دلی تعصب کٹر نظر متعصب پست خیال دل تحدید کرنا بخیل چھوٹا گہرا غائر چوڑا مقدار وسیع کنجوس خسیس مشکل قلیل تھوڑا حصہ نائے وادی
farce	سانگ نقلیات سوانگ
personification	سانگ تجسسم شخصیت
whetter	سانگر
knead	ساننا سَوندھنا گھیپنا مانڈنا ملنا گوندھنائ گوندھنا مالش کرنا مسلنا ملانا
game	ساوج صَید لعب ملاعِب نخچیر بازی لکھاب بازیچہ کھیل شکار تفریح
porcupine	ساہی سِیہہ خارپشت سیہ
syce	سائِیس سائس
everybody	سب قاطِبہ ہماشُما ہرکس و ناکس
sheba	سبا
forefinger	سبّابہ کلمہ کی انگلی
saturday	سبت سنیچر شنبہ ہفتہ
sabbath	سبت
glorify	سُبحان با عظمت دینا پوجنا شان بڑھانا
jar	سبُو کلس مرتبان گونجنا جھنکارنا جھگڑا کرنا جھٹکا دے کر چل دینا مخالف ہونا نااتفاقی صدمہ یا تکلیف سے ہل جانا بے سری آواز نکالنا جھر جھری کھڑ کھڑانا مٹکا سب آرا کا تصادم دھچکہ کرخت تکرار
dildo	سبُورا سعتر شستک صبور
convenience	سُبیتا سُتار سُکُون مصلحت وُسعت آرام فراغت
timely	سبیر برمحل بروقت وقت پر
sabha	سبھا
unaffected	سپاٹ بے ساختہ بلا تصنوع غیر متاثر جوں کا توں فطری مخلص سیدھا سادھا
supari	سُپاری
thanksgiving	سِپاس شُکر شُکرانہ
sepoy	سِپاہی
sipahi	سِپاہی
soldierly	سِپاہیانہ
hepta-	ست
fidelity	ست صداقت وفا امانت صدق وفاداری
sitar	سِتار
asterisk	سِتارہ ستارہ
spangle	سِتارہ چمکی
prosecute	ستانا حد لگانا مقدمہ چلانا
laudatory	ستائشی مدحی
seventieth	ستّرواں
seventeen	سترہ
september	سِتمبر
suttoo	ستّو
suttu	ستّو
laudable	سِتُودہ محمود مُستحسن قابل مدح سراہیت
sati	ستی
resistance	ستّیا مُدافعت مُزاحم مُزاحمت مُقاومت مدافعت مزاحمت روک ٹوک
ruiner	ستّیاناسی مُتلِف
tidy	سُتھرا با سلیقہ قبول صورت سڈول ستھرا ستھری
desultorily	سٹرپٹر
gossipy	سٹلّو گپیّ
trading	سٹّے
ornamentation	سج سجاوٹ زیب و زینت
prostrator	سجّاد
girlfriend	سجنی
indeed	سچ سہی فِعلاً ہئی یقیناً البتہ برحق در اصل حقیقت ٹھیک ضرور
nebulous	سحابی ابر نما دھندلا غیر واضح مبہم
nebula	سحابِیہ صدیم سحابیہ ستاروں کا جھرمٹ
consumption	سحاف سِل کاہِش کھپت خرچ
bewitchment	سِحر
baselessness	سخافت
inappropriate	سخیف ناروا ناسزاوار انٹ سنٹ بے موقعہ ناموزوں
imbecile	سخیف بدھو پگلوٹ
flighty	سخیف ہوائی من موجی مذبذب وہمی
siddha	سِدھ
triumphant	سِدھارتھ قاہِر مُظفّر منصور منگلی غالب
improve	سُدھارنا سُدھرنا سنوارنا بہتر اصلاح کرنا سدھارنا ترقی ہونا سنورنا سدھرنا
familiarise	سدھانا عادت ڈالنا ہلانا
shapely	سِڈَول چھبیلا سڈول
symmetrical	سِڈَول سُگھڑ مَوزوں
major	سر وڑ اہم بڑا اہمیت خانساماں رکاب دار درجہ اکثریتی جماعت بڑی بازی رنگ اکبر کلان خاص
tip	سر سِرا سِرے بخشش نوک پھننگ انی پھننگی دینا اشارہ کرنا ڈحلکانا جھکانا پھینکنا الٹنا
headship	سربراہی سرداری
sarpanch	سرپنچ
fountainhead	سرچشمہ مبدا
fount	سرچشمہ سوتا منابع منبع
frontier	سرحد مرز
sardar	سردار
ringleader	سردار سرغنہ مُڈھ مُفسد
sikh	سردار سِکھ
tipsy	سرگراں سوار کَیفی ہلکے نشے میں سبک سر
earnestness	سرگرمی متانت
superscript	سرنامہ
downcast	سرنگوں بجھا ہوا جھکا اچاٹ
vanquish	سرنگوں سرہونا ہارا ہوا پسپا مفتوح مغلوب غالب آنا ہرا دینا کرنا
wherewithal	سروسامان ضروری رقم
pester	سرہونا کھانا لِپٹنا عافیت تنگ کرنا سر ہونا
vowel	سُر مُصوّتہ حرف علت مصوت صدائ
modulate	سرا ہم آہنگ کرنا موافق بنانا نرم
incarnate	سراپا مُجسّم مُشکّل
rustle	سرّاٹا سرسر سرسراہٹ سن سنسناہٹ کھڑ کھڑانا
yak	سُراگائے یاک دل لگی ہنسی مذاق
caravanserai	سرائے مصطبہ
chanter	سرایندہ گایک مطرب نغمہ ساز
evergreen	سرجیون مُدامی سدا بہار
leftist	سُرخ
marxist	سُرخ
lipstick	سُرخی لالی سرخی
rouge	سُرخی غازہ گُلگُونہ لالی مُکھوا شرمانا
unemotional	سرد
chieftaincy	سرداری
catarrh	سردی نزلہ
reprehension	سرزنش مُعاتبت ملامت عتاب گوش مالی
sniffle	سُرسُرانا زکام
cursorily	سرسری مُجملاً اوپر
caterpillar	سُرفہ سُنڈی
woodworm	سُرفہ
sarkar	سرکار
gamut	سرگم گِرام دائرہ حلقہ
solmization	سرگم
wintery	سرمائی
headquarters	سرمائی صدر مرکزی دفتر سپہ سلار کی قیام گاہ
kohl	سُرمہ کاجل کُحل کوہل سرمہ
collyrium	سُرمہ طالِیقُون کُحل
surma	سُرمہ
greyish	سُرمئی سرمئ مائل
oboe	سُرنا
piper	سُرنائی
burglar	سُرنگیا نقّاب
miner	سُرنگیا کانکن
salwar	سروال
nutcracker	سروتا ثروتا
vermillion	سروج سِندُور سیندُور شنگرفی رنگ کا شوخ سرخ قرمز شنگرف زنجفر
lyre	سُرُود بربط چنگ
lyrist	سُرُودی
exhilaration	سُرُور کُشادگی کَیف کیف سرور
rulership	سروری
chiefdom	سروری سری
intuition	سروش مُکاشفہ وِجدان ادراک الہام وجدان
infect	سریان آلودہ کرنا بگاڑنا برا اثر ڈالنا گندا خراب
transmigrate	سریانی ہجرت کرنا
syriac	سُریانی
harmonious	سُریلا ہم آواز آہنگ متناسب متوافق
melodious	سُریلا غِنائی مُترنِّم مدُھر
decompose	سڑا گلانا سڑانا تحلیل کرنا
superintendent	سزاوُل کارفرما گِرداور مُنتظِم مُہتمِم نگران
supervisor	سزاوُل ناظِر نگران
uncomely	سستا
relax	سستانا ڈھیل دینا نرم کرنا
hiccup	سِسک ہِچکی ہچکی
sibilate	سِسکارنا
gasp	سِسکنا نفَس ہانپ ہپہپانا ہانپنا سانس کے لئے منہ کھولنا پھولنا سسکنا لینا
superficiality	سطحیّت
ruling	سُطُور
marjoram	سعتر
lesbianism	سعتر
origanum	سعتر
enterprise	سعی مہام مُہِم ہِمّت ہمت
recommendatory	سِفارِشی
introductory	سِفارِشی تمہیدی افتتاحی
shard	سِفال کِرچی
earthenware	سِفال
tile	سِفال کھپرا کھپرَیل
subpoena	سفینہ چالان جاری کرنا
socrate	سُقراط
scammony	سقمونیہ
skink	سقنقُور
capitulation	سُقُوط
rudder	سِکّا سُکّان کرن
cutler	سکّاک
helm	سُکّان پتوار سکان ذمام
helmsman	سُکّانی
coma	سکتہ غفلت کی نیند غش
inebriation	سُکر
grandmother	سکڑ جدّہ دادی نانی
tuition	سِکشا سِیکھ درس پڑھائ
can	سکنا کر تا پاتا بید زنی پٹائ بھیک مانگنا فریاد کرنا ڈھلان جھکاؤ کھوکھلے الفاظ ہٹا کٹا مضبوط نیلام ترچھا
may	سکنا مئی مہینے دلچسپ حب ختصر امکان ظاہر کرنا
dwelling	سکنہ مساکن
shorten	سُکیڑنا قصر چھوٹا کرنا گھٹا دینا مختصر گھٹنا کم ہونا
learner	سِکھ سِیکھتڑ مبتدی طالب تلمیز
dehydrate	سُکھانا
relate	سگا سگی کتھنا کہنا گو لگا مُتعلِّق مُتوصِّل مذکُور مروی مُضاف معزی مقرون منقُول مَوصول وابستہ ارشتہ جڑا ہوا معاشی اتحاد متعلقہ بتانا بیان کرنا نقل نسبت دینا سنانا ہونا تعلق
akin	سگا سگی قریب مُتعلِّق ملتا جلتا
attainable	سُگم
omen	سگُن شگُون فال علامت شگون
silajit	سِلاجیت
flayer	سلّاخ
skinner	سلّاخ
easiness	سلاست
plainness	سلاست صفائی سادگی
salaam	سلام
securely	سلامت
divest	سلب عُریاں عہدہ گھٹانا
seizure	سلب ضبط قبض قبضیت گِرِفت گِرِفتاری گِیرائی اچانک حملہ گرفتاری پکڑ قبضہ ضبطی
emotionless	سِلپٹ
disentangle	سُلجھانا سلجھانا سلجھنا
straighten	سُلجھانا سیدھا کرنا
disentanglement	سُلجھائو
crawl	سلسلانا رینگنا کلبلانا پیٹ کے بل چلنا
tickle	سلسلاہٹ سہلانا سہلاہٹ گُدگُدانا گُدگُدی ہنسانا چھیڑنا گدگدانا گدگدی کرنا خوش پیٹنا
categorization	سِلسلہ
concatenation	سِلسلہ لڑی ربط سلسلہ بندی تسلسل
sultan	سُلطان
sultana	سُلطانہ منقہ
regal	سُلطانی شاہی شہانہ مُلُوکانہ شاہانہ خسروی مالکانہ
predecessor	سلف مُورِث اگلا مقدم پیش رو
garland	سِلک عِقد کنٹھا مال مالا ہار گجرا
wireless	لاسلکی لاسِلکی
quail	سلویٰ بٹیر سلوا گھٹنا ہمت ہارنا مرجھانا پژہ مردہ ہونا
straightforward	سلیس سِیدھا کھرا صاف سیدھا سادا
knack	سلیقہ صفائی لِم چالاکی ڈھب ہنر مندی استعداد کاری گری مہارت قابلیت صلاحیت استادی
decency	سلیقہ شائستگی عِفّت حیا
pacific	سلیم
solomonic	سُلیمانی
toxin	سم
hoof	سُم کُھر کُھرا کھر سم ٹاپ
samaj	سماج
plead	سماجت کہنا سننا کہا سنا حجت کرنا
sociology	سماجیات عُمرانیات
samadhi	سمادھی
qawwali	سماع قوّالی
porphyry	سماق
sumac	سُمّاق
goodtime	سماں
scene	سماں سَیر ظاہِرہ عالم کانڈ مناظِر منظر نظارہ سمان
samovar	سماوار
ethereal	سماوی
ramrod	سُمبا گز
parent	سمبھُو ماباپ والدین ماں باپ والد والدہ
avenge	سمجھنا قہّار مُنتقم انتقام لینا
smriti	سِمرِتی
audio	سمعی
aduiology	سمعیّات
salamander	سمندر آتش خوار
sable	سمُور ہلسا مچھلی کالا سیاہ
samosa	سموسہ سنبوسہ
toxicity	سمّیّت
venomousness	سمّیّت کینہ پروری زہریلا پن
poisonousness	سمّیّت
swish	سن سنسنانا
howl	سنّاٹا ہُوک آہ و زاری کرنا چیخ پڑنا پکار
nard	سُنبل نرد
hyacinth	سُنبل گل بکاؤلی سنبل
virgo	سُنبلہ
weigher	سنج
stoat	سنجاب قاقُم
ermine	سنجاب قاقُم
jujube	سنجد عُنّاب میٹھی گولیاں
sanad	سند
sunnud	سند
anvil	سِندان گھن نِہائی اہرن
sindoor	سِندُور
sindh	سِندھ
sindhi	سِندھی
twilight	سندھیا شفق جھٹ پٹا پگاہ شام
larva	سُنڈی
sanskrit	سنسکرِت
ornamented	سنسکرِت نقشی رنگین
whiz	سنسناہٹ
beckon	سنکار سنکارنا اشارے سے بلانا
halloo	سنکار لشکار ہُشکارنا ہُلکارنا ہوت پکار چیخنا پکارنا
arsenic	سنکھیا رسینک برداشت کرنے والا
accompanist	سنگت
accompaniment	سنگت ساتھ ساتھی
scuffle	سنگرام کشمکش لپاڈُگّی دھینگا مشتی ہاتھا پائ کشتم کشتا لڑائ جھگڑا مارا مار پیٹ
sangam	سنگم
sangeet	سنگیت
chorus	سنگیت استھالی ہم نوائ
bayonet	سنگین
serious	سنگین فاش گمبھیر گہرا گہری مُقطّع مُہتم نِیوا سنجیدہ متین
heinousness	سنگینی
sunnite	سُنّی
sannayasi	سنّیاسی
cavalryman	سوار
sowar	سوار
beneficial	سُوارت مُفید نافِع مدد گار مفید سود مند
horsemanship	سواری
sowari	سواری
questioningly	سوالاً
swami	سُوامی
hundredth	سواں سَوواں
step-	سَوتیلا
half-	سَوتیلا
semolina	سُوجی سوجی
sulky	سَوداوی مٹھُوس اکل کھرا بد مزاج تیکھا
usurious	سُودی
sura	سُورت
dogbane	سُورنجان
pathos	سوز درد
iris	سوسن قزحیہ قوس رنگین کمان کا پھول(پود)
sophist	سوفِسطائی
sophistic	سوفِسطائی
juiceless	سُوکھا
ricket	سُوکھا
sixteen	سولہ شانزدہ
soma	سوم
void	سُونا عدم خالی باطل کالعدم کورا سونا تہی خلا جگہ
unadorned	سُونا بے آرائش زینت غیر آراستہ سادہ
bullion	سونا
pomade	سَوندھا
proboscis	سُونڈ ناسِکا سونڈ
dowser	سُونگھا
sniff	سُونگھنا
snuff	سُونگھنی گُل ناس نِسوار نِسواری ہُلاس
likeable	سوہنا
faultiness	سُوء
fennel	سویا سونف
lukewarm	سہتا کُنکُنا گُنگُنا بے دل کن کنا نیم گرم سرد مہر شیر
bearable	سہتا گوارا قابل برداشت
connate	سہج پیدائشی
epithalamium	سِہرا جلوہ کا گیت
cyprinid	سہری
titillate	سہلانا گُدگُدانا
scared	سہمی چوکننا دہشت زدہ
supposedly	سہی بلفرض
of	سے فی کا کی کے مِن ہو پر آج کل ابھی چند روز حال ہی میں
tourist	سیّاح جہانگرد مسافر سیاح
tourism	سِیاحت سفر سیاحت
hegemony	سِیادت غلبہ برتری چودھراہٹ دباؤ ہاویت قیادت سرداری
planet	سیّار سیّارات سیّارگان سیّارہ نجم زمین فضا نجست عالم فضاوسفر سیارہ
asteroid	سیّارچہ
telstar	سیّارچہ
satellite	سیّارچہ حاشیہ بردار
diplomacy	سِیاست مصلحت حکمت
wirepulle	سِیاست
politic	سِیاست سیاست محتاط مدبر
politician	سِیاستدان سیاست دان
political	سِیاسی مُلکی تعبدی سیاسی اداروی مصلح
diplomatic	سِیاسی سفارتی
bookkeeping	سِیاق
context	سِیاق قرینہ سیاق و سباق
changeable	سیّال مُتلوِّن نت نیا
inventory	سِیاہہ فِہرست فرد فہرست
seth	سیٹھ
financer	سیٹھ
sickly	سِیٹھا مریضانہ بیمار کم زور نڈھال پژ مردہ روگی
vapid	سِیٹھا بے جان لطف مزہ رس پھیکا سیٹھا ٹھنڈا
coach	سیج کوچ گاڑی سکھانا
skewer	سِیخ سیخ
sayyid	سیِّد
directness	سِیدھ سِیدھائی
excursion	سَیر سَیلان سیر
sightsee	سَیر
bioscope	سیربین
cosmorama	سیربین
rung	سِیڑھی
thirteenth	سِیزدہم تیرھواں تیرہواں
equitant	سَیفی
sailab	سَیلاب
outing	سَیلان اخراج سبق لے جانا سیر تفریح
itinerant	سَیلانی مشّائی
mercurial	سِیمابی چنچل متغیر سیمابی شوخ
simurgh	سِیمُرغ
housebreak	سیندھ کُومل
toast	سینک توس
siliqua	سِینگڑی
raphe	سِیون
perineum	سِیون
offshoot	شاخچہ شاخسانہ شاخ
shadi	شادی
seldom	شاذ کبھی کم بہت کبھار
rarely	شاذ کبھی کبھار کم خال
myna	شار شارک
interpreter	شارِح مُترجِم مُفسِّر ترجمان مفسر مترجم شارح تعبیر گو
exegete	شارِح کشاّف مُفسِّر
explainer	شارِح کاشِف کشاّف
commentator	شارِح مُبصِّر مُفسِّر شارح
legislator	شارِع مُقنِّن قانون ساز
illuminous	شارِق
shastra	شاستر
piss	شاش مُوت مُوتنا پیشاب کرنا
seashore	شاطی
poet	شاعِر شُعرا کب شاعر
poetical	شاعِرانہ شِعری
