english	urdu
vespiary	بھڑ کا چھتہ یا بستی زنبور خانہ
vespid	بھڑ زنبور
vespine	بھڑ جیسا
vessel	برتن جہاز کشتی کٹورا مرکب مٹکا ناؤ رگ سفینہ ظرف
vestal	عذرا اچھوتی کنواری ناکتخدا
vested interest	حق خصوصی
vested	حقدار ملبوس
vestibule	دالان
vestige	نشان سراغ
vestigial	بچا کھچا خاک کھرچن
vestment	جببہ پوشاک پوشش
vest pocket	چھوٹا سا جیبی ننھا مننا صدری کی جیب
vesture	لباس پوشاک
vest	عطا کرنا بخشنا ڈھانکنا کپڑے پہننا عطا ہونا ملبوس ہونا قبضے میں آ جانا صدری
vetch like	پھلی دار
vetch	باقلا موٹھ
veteran car	پرانی گاڑی
veteran	آزمودہ کار سابق فوجی
veterinarian	بتار مویشیوں کا معالج
veterinary medicine	جانوروں کی دوا
veterinary surgeon	سلوتری
veterinary	بتار مویشیوں کا معالج
veto	مسترد کرنا حق استرداد
vet	بے تاری تجربہ کار جنگ آزمودہ سپاہی
vexation	آفت بے زاری چڑ چڑا پن درد دکھ غبار خفگی کوفت کلفت ملال پریشانی پیچ و تاب رنجش ستم سوز
vexatiously	ایذا رسانی سے تکلیف دہ طور پر
vexatiousness	ایذا رسانی تکلیف دہی
vexatious	چھیڑنے والا مکدر ستانے والا تکلیف دہ
vexedly	دق ہو کر تنگ آ کر
vexedness	آزار رسیدگی آزردگی پریشانی رنجیدگی
vexed	آزار رسیدہ آزردہ چڑ چڑا دل گیر دق خفا مکدر متنازع فیہ ناخوش ناراض پریشان رنجیدہ ستایا ہوا زچ
vexer	دق کرنے والا ستانے والا
vexingly	تکلیف دہ طریقے سے
vexing	ایذا رساں پراشتعال
vex	آزار پہنچانا بحث کرنا چھیڑنا دق کرنا ہلا ڈالنا اشتعال دلانا جلانا کوفت میں ڈالنا ناراض کرنا پیچھا کرنا رلانا ستانا تنگ کرنا ابھارنا برہم ہونا غصے میں آنا کتر کھانا تیزاب زدہ ہونا
viability	نتیجہ خیزی مم پزیری زیست پزیری
viable	نم پزیر زیستنی
viably	نم پزیری کے ساتھ
viaduct	پل پل کی طرح اوپر اٹھی سڑک
vial	قارورہ شیشی
via media	درمیانی راستہ راہ مفاہمت
viand	بھوجن غذا کھانا طعام
viaticum	توشہ زاد راہ
viator	مسافر راہ گیر
via	براہ با راستہ
vibe	فضا ماحول
vibrancy	دھڑکن گونج ارتعاش لرگسہ تھر تھراہٹ
vibrantly	دھڑکتے ہوئے گونجتے ہوئے
vibrant	آوازوں والا گونج دار ارتعاش پزیر لرزان مرتعش تھر تھراتا ہوا
vibrate	بدلنا گھٹنا بڑھنا جھولنا کانپنا لرزنا مرتعش ہونا آگے پیچھے ہلانا بدلنا ارتعاش دینا جھلانا لرزان کرنا کپ کپی پیدا کرنا
vibration	جنبش احتراز ارتعاش لرگسہ تھر تھراہٹ
vibrator	احتراز کنندہ کانپتا ہوا لرزان مرتعش تھر تھرانے والا
vibratory	ارتعاش انگیز جھلانے والا لرزشی
vibrato	تھرکتی آواز
vicarage	فرائض یا جاگیر نائب کا گھر
vicariously	نہ طور نمائندہ
vicarious	نمائندہ موکل سپرد کیا ہوا
vicar	نائب نمائندہ
vice admiral	نائب امیر البحر
vice chancellor	شیخ الجامع
vice consul	نائب مشیر
vice president	نائب صدر
viceregent	جا نشین نائب السلطنت
viceroy	نائب السلطنت
vice squad	بدی روک دستہ
vice versa	بل عکس اس کے برعکس پلٹ کر نائب مختار قائم مقام
vice	عیب بداخلاقی بدی برائی علت شر شرارت بجائے بعد میں کی جگہ نائب
vicinage	گرد و نواح پڑوس
vicinal	ملا ہوا نواحی پڑوس کا قربیہ
vicinity	اطراف گرد و نواح ہمسایگی مقامی قرب مشابہت نزدیکی نواح پڑوس قربت قرابت قرب و جوار یکسانی
vicious circle	بدی کا تسلسل برائی کا چکر
viciously	خباثت سے سفاکانہ
viciousness	بدی خباثت
vicious	عیبی بد کار بد خصلت فاسد نااہل ناقص قابل اعتراض قابل ملامت سفاک شیطانی
vicissitude	گردش انقلاب نیرنگی نشیب و فراز تبدیلی تغیر
victimisation	نشانہ بنانے کا عمل
victimise	بھینٹ چڑھانا فریب دینا نشانہ بنانا پھنسنا قربان کرنا شکار بنانا ٹھگنا
victim	بھینٹ مارا ہوا نشانہ قتیل قربان کردہ شکار
victoria	چار پہیوں والی بگھی
victoriously	فتح مندی سے ظفر یابی سے
victorious	فیروز غالب منصور لڑائ یا مقابل میں جیتا ہوا
victor	فاتح فتح مند فیروز مند غالب جیتنے والا ظفر یاب فاتح شخص منصور وہ شخص جو جیتا ہو
victory	فتح فیروزی جیت نصرت ظفر
victuals	خوراک
victual	غذا رسد دانہ پانی معقولات
video game	بصری کھیل
videotape	بصری فیتہ
video	بصری
viewable	قابل دید
vie	برتری کے لئے کوشش کرنا جھگڑنا
viewer	دیکھنے کا کوئ آلہ ناظر تماش گر
viewing	سیر بینی
viewless	غائب نادیدہ اوجھل
viewpoint	موقف نظریہ نقطہ نظر رائے
view	دیکھنا غور کرنا جائزہ لینا جانچنا سمجھنا غور جائزہ منشا منظر نظارہ قصد رائے تاک طرز فکر
viewy	بھڑک دار خیالی وہمی
vigilance	بے داری چوکسی ہوشیاری نگہبانی پہرا
vigilante	چوکس گروہ
vigilantly	چوکسی سے ہوشیاری سے
vigilant	بے دار چوکس چوکننا ہوشیار خبردار نگران
vigil	عبادت شب رت جگا شب بے داری
vignette	چھوٹی تصویری سرخی گل کاری
vigorous	چاق دھان دار متین مضبوط پرتاثیر قوی شدید طاقتور تازہ دم زبردست زور آور زور دار
vigour	دم خم ہمت جان جسمانی طاقت قوت شدت طاقت زبردستی زور
vilely	نامردی سے پاجی پن سے شرمناک طور پر
vileness	بدمعاشی کمینہ پن ناب کاری پاجی پن قباحت سفلگی ذلت
vile	ادنیٰ بد ذات حقیر ہیچ کمینہ ناب کار پاجی پست قبیح رذیل سبک ذلیل
vilification	بد گوئ بدنامی رسوائ تشہیر تذلیل
vilify	بدنام کرنا بگاڑنا نام دھرنا رسوا کرنا تھوکنا
vilipend	گھٹیا رائے ظاہر کرنا
village council	پنچیت
villager	دہقانی دیہاتی گاؤں والا گنوار
villagery	دیہاتی پن گنوار پن
village	بستی دیہہ دیہات گاؤں موضع پور قریہ
villainness	پجوڑی شیطان کی خالہ
villainousness	بدمعاشی پاجی پن شر انگیزی
villainous	خبیث مفسد شریر
villain	بدمعاش غنڈا حرامزادہ لچا مخالف شریر
villainy	بدمعاشی کمینگی سفلہ پن شر شرارت ذلالت
villa	دیہاتی یا مضافاتی حویلی دیہی مسکن مضافاتی مکان
vill	دیہہ گاؤں موضع
vim	جوش روح طاقت طراری توانائ زور
vinaeceous	شراب دار شراب جیسا
vinaigrette	سرکے کی ششی
vincible	قابل فتح قابل تسخیر
vindicate	بے داغ ثابت کرنا بول بالا کرنا الزامات سے بری کرنا لاج رکھنا منوا لینا
vindication	بریت حمایت ثبوت
vindicatory	حمایتی
vindictively	انتقاماً کینہ پروری سے کینہ وری سے
vindictiveness	بغض انتقام جوئ کینہ پروری
vindictive	انتقام جو انتقامی کینہ باز کینہ پرور
vinedresser	انگوری باغ کا مالی
vinegar	جوش حیات مزاج کی ترشی سرکہ
vinegary	چڑ چڑا کھٹا تلخ مزاج
vinery	ایک قسم کا پودا خانہ تاک گھر تاک خانہ
vine	نباتاتی بیل تاک
vineyard	باغ انگور تاکستان
viniculture	تاک پروری
viniculturist	شراب ساز تاک ساز
vinification	عمل کشیدگی
vinify	شراب بنانا
vinolent	شراب کا عادی
vinous	الکوحلی انگوری شراب کا عنابی رنگ کا
vino	شراب شرابی
vintage car	پرانی گاڑی
vintage	فصل انگور قتاف
vintage year	خوش قسمت سال
vintner	کلال
violable	قابل فسخ جو توڑا جا سکے
violably	حالات فسخ
violaceous	بنفشئ
violate	دخل انداز ہونا ہتک حرمت کرنا عصمت دری کرنا خلل ڈالنا خلاف ورذی کرنا توڑنا زبردستی کرنا زنا کرنا زنا بالجبر کرنا
violation of right	حق تلفی
violation	بے ادبی بے جا مداخلت خلل اندازی خلاف ورذی عصمت دری
violative	آبرو ریزانہ بے ادبانہ فاسخانہ
violator	آبرو ریز بے ادب فاسخ خلل انداز بے جا مداخلت کرنے والا خلاف ورذی کرنے والا عصمت دری کرنے والا
viola	رباب سارنگی
violence	چیرہ دستی دست درازی فساد غصب جبر جفا جور سختی شر شدت ستم طاقت کا ناجائز استعمال تشدد تندی تغیان زیادتی
violent	اندھا دھند کڑا سخت شدید شر بار تند تیز زبردست
violet	ارغوانی رنگ بنفشہ بنفشئ رنگ
violinist	سا رنگی نواز
violin	بیلا ولایتی سا رنگی
violist	سا رنگی نواز
viol	کمنچہ
viperous	موذی زہریلا
viper	افعی مرد موذی ظالم زہریلا سانپ
virago	چڑ چڑی عورت لڑاکا عورت مرد صفت عورت شیر زن
viral	زہریلے مادے کا سم آلود
virescent	دھانی سبزی مائل
virgate	چھڑیلا راست سیدھا اور پتلا
virginal	باکرانا دوشیزگانہ
virginity	بکارت دوشیزگی خالص کورا پنڈا کنوار پن
Virgin Mary	معصوم مریم
virgin soil	نئی زمین تازہ زمین
virgin	اچھوتا اصلی حالت میں بے داغ بے جتا دوشیزگانہ خالص کورا عفیفہ عذرا باکرہ دوشیزہ کنہیا
virgin wool	کچا اون
virgulate	ڈنڈے کی شکل کا سیدھا کھڑا
viridescent	قدرے سبز سبزی مائل
viridian	سبز رنگ
viridity	ہرا پن ہریالی سرسبزی شادابی
virid	سبز شوخ سبز
virile	چاق مردانہ مرئ رجلی
virilism	جوانی مردانگی شباب
virility	مردانہ پن مردانگی قوت باہ قوت مردمی قوت تولید رجلیت
virtual focus	مجازی ماسکہ
virtual image	مجازی شبیہ
virtuality	احتمال
virtually	اصل میں فل حقیقت فل واقع تقریباً مکمل طور پر
virtual	اصلی فل واقع حقیقی معنوی
virtueless	بے فیض بے تاثیر خوبی سے خالی
virtue	اچھائ فضل عفت عصمت فضیلت ہنر خوبی نیکی پرہیز گاری راست بازی سعادت توصیف وصف
virtuosity	فن شناسی فنون لطیفہ کا ذوق
virtuoso	فن کو سرہنے والا فن کا رسیا صاحب ذوق اہل ہنر ماہر فن
virtuous	عاصم عفیف با اخلاق فاضل ہیرا مؤثر نیک پارسا صالح سعادت مند
virtu	ذوق فنون
virulence	زہریلی تاثیر
virulent	مہلک سخت زہریلا سمی زہر رساں
virus	بس سمیہ زہر
visage	چہرہ حلیہ پیکر روپ وضع قطع
vis à vis	آمنے سامنے بل مقابل روبرو
visa	راہ نامہ سفری اجازت نامہ
viscerally	اندرونی طور پر
visceral	ذی حس
viscerate	پیٹ چیرنا
viscera	آنتیں احشا
viscid	چپچپا لیس دار
viscose	لزچ مائع
viscosity	چپچپاہٹ گڑھا پن لزوجت
viscous	چپچپا گاڑھا لزج لیس دار
visibility	روئت ظہور
visible	آشکارہ عیاں کھلا مرئ نم دار نمایاں واضح ظاہر
visionary	الہامی خبطی خیالی وہمی خیال پرست تصور پرست صاحب کشف و الہام روئت ظہور
vision	بصارت بینائ الہام کشف خیال خواب مشاہدہ نظر نظارہ پیش بینی رویا
visitable	قابل دید قابل معائنہ
visitant	زائر
visitation	ملاقات معائنہ مصیبت
visitiing	پھیرا
visiting card	ملاقاتی پرچی
visiting professor	مہمان عالم مہمان استاد
visiting	آنے جانے والا مہمان ملاقاتی
visitor	مہمان ملاقاتی مشاہد زائر
visit	جانچ پڑتال کے لئے آنا جانا آمد مجرا ملاقات ورود دورہ لگانا دیکھنا ملاقات کرنا
visor	بہروپ چھجہ نقاب
vista	منظر نظارہ
visual acuity	تیز نظری
visual impairement	نظر کی کم زوری
visualisation	بصریت نظریت روئت
visualise	نقشہ کھینچنا صورت دینا تخیل میں لانا
visual	بصری نظر آنےوالا نظری روئتی
vis	بل قوت سختی طاقت
vitality	دم حال جان قوت حیات روح
vitally	شدید ضروری
vitals	اعضائے رئیسہ
vital	اہم حیات بخش حیاتی ضروری زندگی کا سرچشمہ
vitamin	حیاتین نامیاتی مادہ
vita	مختصر سوانح عمری
vitiate	باطل کرنا برباد کرنا بگاڑنا خراب کرنا نقصان پہنچانا تہہ و بالا کر دینا
vitiating	بگاڑتا خراب کرتا نقصان پہنچاتا
vitiation	بتلان بگاڑ انفساخ خرابی
viticulture	انگوری بیل کی کشت کاری
vitiligo	برص برص کی بیماری
vitreous	کانچ جیسا
vitrify	شیشہ بنانا شیشہ بن جانا شیشے میں تبدیل ہو جانا
vitrine	شیشے کی الماری
vitriolic	کڑوا زہریلا
vitriol	روح طوطا ذاج سخت طنز آمیز
vituperable	قابل ملامت
vituperate	بد زبانی کرنا برا بھلا کہنا گالیاں دینا
vituperation	گالی ملامت تضحیک
vivace	بشا شت کا جوشیلا پرجوش
vivacious	باش شاش چنچل دل شاد پرجوش زندہ دل
vivacity	بشا شت گرما گرمی جوش کردار کی جولانی
viva voce	بول کر زبانی
viva!	واہ واہ زندہ باد
vividly	صفائ سے شدت سے
vividnes	شوخی صفائ تیزی وضح
vivid	شوخ تیز واضح
vivify	جان ڈالنا واضح کرنا
vivisection	جراحت
vivisect	زندہ جانور کی جراحت کرنا
vivo	پرجوشی سے
vixen	بد مزاج جھگڑالو لڑاکا لومڑی
vizard	بہروپ
viz	یعنی
vocable	بول اصطلاح کلمہ تقریری
vocabular	لفظی
vocabulary	فر ہنگ لغت ذخیرہ الفاظ
vocalise	آواز نکالنا گانا زبان سے ادا کرنا
vocalist	گائک گویا مغنی
vocal	ملفوظ صوتی زبانی
vocational	حرفتی کسبی پیشہ ورانہ
vocation	دھندا کسب مشغلہ پیشہ شغل وظیفہ
vociferance	چیخ پکار ندا شور و غل واویلا
vociferant	چیختا ہوا شور مچاتا ہوا
vociferate	چیخنا شور مچانا
vociferation	چیخ پکار غل غپاڑ واویلا
vociferously	گلا پھاڑ کر غل مچاتے ہوئے شور مچا کر
vociferousness	ہنگامہ خیزی پرشوری
vociferous	بلند صوت کلہ دراز پرآواز واویلا کنان
vogue	مقبولیت وضع
voguish	مقبول وضع دار
voiced	آواز والا
voiceful	آواز دار بلند آواز گونج دار پاٹ دار
voiceless	بے آواز بے زبان چپ گونگا گم سم
voice	خیالات کا اظہار کرنا آواز لحن صوت صدا
void	باطل کالعدم خالی کورا سونا تہی خلا خالی جگہ
voilà	یہ دیکھو
volant	چابک دست پھرتیلا سبک
volatile	کافور صفت سیماب وش شوخ اڑ جانے والا
volatility	آسانی سے بھپرنا کافور صفتی لپ جھپ پھرتی تیزی
volcanic	آتش فشانی برکانی
volcano	آتش فشاں برکان جوالا مکھی
volition	چاہ ارادہ مرضی پسند ضمیر
volitive	ارادتاً
volley	گولیوں کی بوچھاڑ
volte face	پینترا پلٹا
voluble	باتونی چرب زبان فصیح سلیس طرار
volublity	کثرت الکلامی
volume(of a book)	جلد مجلد
volume	حجم جسامت مقدار نسخہ ضخامت
voluminous	حجیم کثیر وافر ضخیم
voluntarily	خود بخود رضا کارانہ طور پر
voluntarism	ارادیت رضا کاریت
voluntary	عمداً اختیاری ارادی قصداً رضا کارانہ
volunteer	رضا کار
voluptary	نفس پرست
voluptuous	عیاش سڈول(جسم) شہوت انگیز شہوت خیز
volute	بل دار مرغولی
volution	بل پیچ
vomer	ناک کی ہڈی
vomitting	الٹی
vomit	قیئ کرنا اگل دینا جی برا ہونا قئے ہونا اگل پڑنا
voracious	ہپو لالچی پیٹ
voracity	آز ہوکا حرص لالچ طمع
vortex	بگولا بھنور گرداب مرغول
votary	عبد عقیدت مند بھگت فدوی مداح مرید مخلص نظیر پیر پرستار راہب
voter	رائے دہندہ
vote	رائے دینا حق رائے رائے
votive	منت کا نذری
vouchee	ضمانت دار
voucher	شاہد وسیقہ
vouch for	ضمانت دینا
vouchsafe	مان لینا وعدہ کرنا
vouch	سچ ہونے کی تائید کرنا ضمانت دینا
vowel	حرف علت حرف مصوت حرف صدائ
vow	عہد اقرار منت پکا وعدہ قسم قول سوگند
vox populi	عوام کی رائے
vox pop	عوامی رائے
vox	عقیدہ آواز صدا
voyager	مسافر
voyage	سفر سیاحت
voyeuristic	شہوت نظری
voyeur	شہوت نظر
vulgarise	عامیانہ کر دینا بھدا کر دینا
vulgarism	بازاری پن سوقیانہ سوقیت
vulgarity	اوچھا پن بے ہودگی بھدا پن بھدا جملہ گنوار پن کمینہ پن سفلہ پن سوقیت
vulgar	عامیانہ ان گھڑ عوامی بازاری بے حیا بد لحاظ بھدا گنوار کمینہ خسیس نیچ پست سوقیانہ
vulgate	قابل قبول نقل
vulgus	عوام پرجا
vulnary	مرہم شافئ زخم
vulnerability	عدم تحفظ ضرب پزیری
vulnerable	گھائل ہونے کے لائق چوٹ کا شکار زد پزیر
vulture	گدھ کرگس نسر
vulvar	فرجی
vulvate	فرج دار فرج نما شگاف دار
vulva	اندام نہانی فرج مقام نہانی شرم گاہ
vulviform	بیضوی فرج نما فرجی الشکل
vulvitis	فرج کی سوجن ورم اندہانی
vying	برتری کے لئے کوشش
wabbler	غیر مستقل مزاج
wabble	ڈگمگانا جھومنا لڑ کڑانا
wackiness	آوارگی خبط پاگل پن سودا
wacko	عجیب
wacky	آوارہ گمراہ خبطی پاگل سنکی سودائ
wadder	ڈات لگانے والا پنبہ کار
wadding	بھرن بھرت پنبہ
waddle	مٹکتے جھومتے ہوئے چلنا بے ڈھنگی چال جھومتی چال
waddly	اٹھلا اٹھلا کر لجا لجا کر
waddy	مگدر
wade	پانی یا کسی اور رکاوٹ والی چیز میں چلنا گھاٹ اترنا پایاب اترنا
wad	بھرن بھرت ڈلا گدی پنبہ
wafer	نان فتیر رقہ
wafery	کاغذی
waffle	بکواس کرنا بے ٹوٹ بولنا ہاتھ ہلانا روغنی نان
waff	بھونکنا اکیلا بے کار بے قدر
waftage	اشارہ
wafter	اڑان(جیسے خوشبو کی)
wafture	احتراز تموج اڑا کر یا بہا لے کر جانے کا عمل
waft	ہلکے سے بہا لے جانا لے جانا ترسیل کرنا ہلکورا جھکولا جھونکا جھولا جنبش لہر سانس یا ہوا کا جھونکا
wage earner	کمائ کرنے والا
wageless	بے اجر
wager	بازی داؤ شرط بازی لگانا شرط لگانا
wages	مشارہ
wage war	لڑنا
wage	عہد کرنا حصہ لینا جنگ برپا کرنا جنگ جاری رکھنا اجر بدلہ دہاڑی جزا سزا مکافات مزدوری محنتانہ روزینہ صلہ تنخواہ اجرت
waggery	دل لگی یا ہنسی مذاق ٹھٹھول ظرافت بذلہ گو دل لگی باز ہنسی کا مسخرے پن کا
wagging	ہلاتا
waggishly	تمسخر سے
waggishness	دل لگی بازی مسخرہ پن
waggish	دل لگی باز
waggle	ہلنا کپکپانا
waggly	ڈگمگاتا ہوا ہلتا ہوا
waghalter	مذاقیہ پھانسی کا حق دار شرارتی
wagon	گاڑی گاڑی کا ڈبا
wag	ہلنا کپکپانا اوپر نیچے یا ادھر ادھر ہلنا دم ہلانا ادھر سے ادھر کرنا حرکت جنبش مست چال دل لگی باز فقرے باز مسخرہ ٹھٹھے باز ظریف
waif	بے گھر(بچہ) مال متروکہ
wailful	غمگین ماتم زدہ
Wailing Wall	دیوار گریہ
wailing	آہ و زاری بین ہائے ہائے نوحہ کنی واویلا زاری
wail	فریاد کرنا گریہ زاری کرنا ماتم کرنا رونا پیٹنا آہ و زاری فریاد گریہ نالہ رونا پیٹنا
waistcoat	صدری شلوکا
waistline	کمر کی ناپ
waist	کمر کولہا میان
waiter	منتظر پیش خدمت
wait for	انتظار کرنا راہ تکنا
waiting list	انتظار کی فہرست
waiting room	انتظار کا کمرہ
waiting	انتظار
waitress	پیش خدمت
wait up	سونا ملتوی کرنا
wait	انتظار کرنا پیش خدمت ہونا رکنا ٹھیرنا
waiver	چشم پوشی فسخ
waive	چھوڑنا ہٹا دینا مستثنیٰ کرنا ترک کرنا مسترد کرنا پھینکنا ٹھکرا دینا
wakefulness	بے داری ہوشیاری
wakeful	بے دار ہوشیار جگا ہوا
waken	بے دار کرنا جگانا اٹھانا
wake up	چونکنا جآگ اٹھنا
wake	بے دار ہونا جاگنا رت جگا اٹھنا بے دار کرنا جگانا رت جگا کرنا اٹھانا رت جگا
walker	چلنے والا
walking papers	چھٹی کی پرچی
walking stick	چھڑی
walking	چلنے والا خرامان رواں
walk in	گلی پر دروازہ
walk off	اچانک چل دینا ہرا دینا جیتنا
walk off with	آسانی سے ہرانا کوئ چیز چرانا
walk on	مختصر کردار
walk out on	کسی کو چھوڑ دینا
walkout	احتجاجاً چھوڑ کر چلے جانا ہڑتال کرنا
walk over	آسانی سے ہرانا
walkover	پار کرنا
walk through	تمرین تکرار
walkway	چھوڑ دینا منہ پھیر لینا ترک کر دینا
walk	چہل قدمی کرنا چلنا گھومنا ڈولنا جانا پاؤں اٹھنا پھرنا ٹہلنا چال گشت رفتار راستہ روش سیر
wallet	بٹوہ جام دانی توش دان زنبیل
wallflower	خاموش طبیعت شرمیلا
walloping	قوی مضبوط
wallop	چابک لگانا کوڑے مارنا پیٹنا
wallower	کیچڑ میں رنا
wallowing	غلطاں لوٹ
wallow	کیچڑ میں روندنا پھوندنا لوٹنا
wall	دیوار دیواری فصیل مورچہ پردہ پشتہ روک
walnut	اخروٹ
walrus	دریائ شیر
wamble	آنت کا قلقلانا لرزنا پیٹ میں مروڑ ہونا
wanderer	آوارہ خانہ بدوش سیار
wandering	آوارہ گرد ڈانواں ڈول گم گشتہ ہذیان خانہ بدوش سیلانی واہی تباہی جولان خانہ بدوشی کوچہ گردی
wanderlust	آوارہ گردی کی چاہت پاؤں کا چکر گھومنے پھرنے کا جنون
wander	گھومنا ادھر ادھر پھرنا پھرنا
wand	چھڑی نازک ڈال
wane	گھٹنا کم ہونا زوال آنا انحطاطی دور کمی اتار
wangle	پھیر پھار کرنا پھیرا پھاری
wankle	الل ٹپو ڈگمگ متردد
wanly	آزردگی سے بے زاری سے ضعیفی سے
wannabe	نقل خورا
want ad	ملازمتی اشتہار
wanted	در کار
want for	کمی محسوس کرنا
wanthriven	لاغر نحیف
wanting	محتاج نامکمل ناقص
want in	گھسنا چاہنا
wantonly	بے فکری سے
wantonness	شوخی
wanton	بے پیر بلا وجہ چنچل فاجر کافر لاپرواہ ظالم
wanton woman	ڈھڈو
want out	باہر نکلنا چاہنا
want	آرزو کرنا چاہنا مانگنا چاہ فاقہ فقدان غرض غربت حاجت خواہش کوتاہی مانگ قحط قلت ضرورت
wan	آزردہ اندھیرا بے رنگ مکدر سیاہ تاریک
wanwordy	بے کار ناقص
wanworth	سستا
wapper	پلک جھپکنا لرزنا
wap	جلدی سے پھینکنا جلدی سے کھینچنا
warbled	چھالے دار
warbler	چکا وک
warble	چہچہانا آبلہ چھالہ
warbling	چہچہا زن
war chest	جنگی خزانہ
war clouds	جنگ کے بادل
war correspondent	جنگی نامہ نگار
war crime	جنگی جرم
war cry	جنگ کا نعرہ جنگی نعرہ
warden	حافظ ناظر نگاہ بان سرپرست ولی وکیل ناش پاتی کی ایک قسم
warder	قید خانے کا نگہبان
ward off	بچانا دفع کرنا دور رکھنا روکنا
wardrobe	الماری لباس
war drum	طبل جنگ
ward	بچانا دیکھ بھال کرنا حلقہ محلہ پاڑا
warehouse	بڑی دکان مخزن
wareroom	مال گدام
ware	چیز جنس مال سامان آخر بین پراحتیاط
warfare	حرب جنگ آوری محاربہ تنازع
war game	جنگی کاروائ کی ورزش
warhorse	جنگی گھوڑا
warily	آخر بینی سے با احتیاط محتاطانہ پراحتیاطی سے
wariness	احتیاط محتاطی آمادہ جنگ حربی جنگی جرار لڑاکا
warison	جنگی کوس
warlike	فوجی جنگی کھلا دشمن لڑاکا
warlock	جادو گر خائن ساحر
warlord	جنگی سردار
war machine	جنگی وسیلے
warm bloodedness	گرم خونی
warm blooded	گرم خون والا
warmed over	باسی پرانا
warmer	گرم تر
warm hearted	دوستانہ
warming	سینک
warmly	گرم دلی سے پرتپاکی سے
warmness	گرمی گرم دلی
warmonger	جنگ جو جنگ کی آگ بھڑکانے والا جنگ افروز
warm over	دو بارہ گرم کرنا
warmth	آنچ چاؤ گرمی حرارت حدت جوش لپٹ سینک تابش تپش
warm up	گرم کرنا ورزش کی تیاری
warm	گرم کرنا سینکنا گرم غصیلا جوشیلا مشتاق ناراض
warningly	دھمکی دیتے ہوئے اشارتاً
warning shot	تنبیہی ضربت
warning	دھمکی عبرت انتباہ اشارہ نصیحت تنبیہ
warn off	کسی کو چلے جانے کے لئے کہنا خلاف رائے دینا
warn	آگاہ کرنا دھمکی دینا جتانا خبردار کرنا کھڑ کھڑانا
warp and woof	بنیاد جنگی کاروائ میدان جنگ مسیر جنگی
warpath	جنگ کی راہ
warplane	جنگی جہاز
warp	انڈے دینا رستے سے ہٹ جانا مروڑنا پھینکنا
warrantable	جائز
warranted	مجاز
warrantee	جسے پروانہ دیا جائے
warranter	کفیل ضامن
warrantor	کفیل ضامن
warrant	بچانا دیکھ بھال کرنا حفاظت کرنا اختیار نامہ حکم جواز پروانہ
warranty	ضمانت
warren	خرگوش کا باڑا
warrior	دلاور جنگجو محارب
warship	جنگی جہاز
war story	جنگی روداد
wartime	دوران جنگ
war torn	جنگ میں پھنسا ہوا
wart	مسہ
war	حرب جنگ لڑائ محاربہ پیکار رن رزم
wary	بصیر چوکننا محتاط
war zone	علاقہ جنگ
washable	دھل سکنے والا
wash board	دھلائ کا پٹرا
wash down	اچھی طرح سے دھونا
washer man	دھوبی
washer woman	دھوبن اجلی بوا
wash house	دھوبی کھانہ دھلائ گھر
washing	دھلائ
wash out	اندر سے دھونا ختم کرنا
washroom	غسل خانہ
wash up	منہ ہاتھ دھونا
wash	دھونا دھلائ دھلائ کے کپڑے غسل نہانا شوب دھونا دھلائ کرنا غسل کرنا
washy	کم زور مریل پھیکا
waspish	نکد
wasp	بھڑ زننبور
wastage	بربادی نقصان ضیاع
wasted	برباد رائیگان ضائع
wasteful	فضول خرچ ضائع کرنے والا
wasteland	ویرانی
wastepaper basket	ردی کی ٹوکری
wastepaper	ردی
waster	مصرف لکڑی کی تلوار
wastewater	گندہ پانی غلیظ پانی
waste	برباد کرنا ڈبونا گلانا خاک میں ملانا کھونا پامال کرنا پھینکنا تا راج کرنا ویران بنانا ضائع کرنا اللے تللے نقصان اسراف ردی اجاڑ
wasting	کم زوری
wastrel	بے اثرا بچہ فضول خرچ کوڑا نکما آدمی
was	تھا تھی
watchdog	سگ نگہبان سنتری کتا
watchfulness	بے داری خبر مراقبت
watchful	بے دار چوکس چوکننا خبردار نگران
watching	پاس
watchmaker	گھڑی ساز
watchman	چوکیدار محافظ پاسبان نگاہ بان سنتری
watchout	خبردار رہنا
watch over	نگاہ میں رکھنا
watchtower	برج برج نگہبانی
watch	بے داری چوکسی چوکیداری گھڑی حفاظت خبر گیری نوبت نگہبانی نگرانی پاسبانی پہرا رکھوالی ساعت دیکھنا نگاہ رکھنا راستہ دیکھنا
watchword	اشارہ اصولی قول
water buffalo	بھینس
water carrier	سقہ
water chestnut	سنگھاڑا
water closet	بیت الخلا جدید پاخانہ
water colour	آبی رنگ
watercourse	نالہ
watercress	قرۃ العین
waterfall	آبشار چادر جھرنا شلال
waterfowl	آبی چڑیا
waterfront	ساحل
water logging	سیم
watermelon	تربوز
water mill	رہٹ
waterpipe	حقہ
waterproof	مشمع
water pump	بمبا نل
watershed	فاصل آب پن دھارا
water spout	پرنالہ
water supply	آبرسانی
watertight	پن روک قابل اعتبار
water	آب جل مائ پانی آب پاشی کرنا سینچنا
watery	اشک بار ڈھب ڈھب مائ رقیق
wattle	بید چھڑی ڈنڈی
waul	بچے کا بلبلانا
waved	لہریا
waveringly	با تردد
wavering	دو دلا متردد متزلزل مذبذب ڈانواں ڈول ہچر مچر ہچکچاہٹ
