اتھاہ	bottomless unfathomable deep
گولا	shoot shell colic coconut cannon globe
گُولر	wild
گولک	money till
گَولی	herdsman shepherd
گولی	shoot bullet tablet pill globule
گومڑا	swell protuberance bruise bump lump
گونَ	departure
گَون	advantage efficient need opportunity want able occasion capable
گُوں	kind mode colour tint specie
گون	sack bag
گُوناگوں	variegated
گُونتھنا	baste
گُونج	desire nail hum resonance buzz echo wish roar
گُونجنا	echo roar resound
گونچنا	hold catch
گوند	gum
گُوندھنا	braid
گونڈا	village suburb
گُونگا	dumb mute
گُونگی	etc
گُونہ	manner form kind quantity colour mode time fold
گُوہ	faece dung
گُوہا	dung
گُوہار	abuse
گوہاری	helper associate
گَوہان	village
گوہانجنی	stye sty
گَوہتّیا	cow
گَوہر	descent origin quintessence essence jewel pearl gem talent nature
گَوہری	jeweller
گوئندہ	orator informer speaker narrator spy
گوئی	utter tell
گُوئے	ball
گویا	eloquent talk speak
گویّا	songster singer
گویائی	eloquence talk
گہ	handle place sometimes
گُہر	pearl gem
گہرا	important serious profound grave weighty solemn difficult thick deep
گہرائی	depth profundity deepness
گہری	important serious profound deep close
گہک	customer stir purchaser
گہگیر	untrained unsubdue wild
گہلا	free unrestricted coquettish proud unrestrained
گہن	eclipse
گہنا	seize ornament jewellery mortgage take
گہنانا	etc
گہنے	ornament jewellery
گہوا	tweezer
گہوارہ	cradle
گہے	sometimes
گئو	cow silent
گی	shall will
گے	shall will
گیا	go gone
گیاّ	cow
گِیابھ	pregnancy
گیارھوِیں	eleventh
گیان	intelligence intellect knowledge wisdom understand
گیانی	sage philosopher
گِیاہ	straw
گِیاہی	grassy
گِیت	lyric song
گیتی	pickaxe
گِید	gum
گِیدڑ	coward jackal
گِیدی	shameless stupid cuckold cowardly idiotic dolt
گِیر	catcher taker conquer take hold conqueror cover
گِیرائی	hold grasp seizure
گیرُو	ochre
گیروا	reddish
گیگلا	half silly soft
گیل	road pathway lane street
گِیلا	moist wet damp
گَینتی	pickaxe
گیندا	marigold
گیندئی	yellow
گَیہان	universe
گیہُوں	wheat
گھابرا	confound confuse
گھات	enmity ambush control mechanism concealment objective intention snare motive aim strike manner destruction etc murder hold purpose mode design cover blow trick
گھاتک	murderous cruel murderer evil enemy slayer executioner
گھاتنی	murderess
گھاتی	deceitful lurk treacherous
گھاٹ	pier manner loss wharf low mean want base way jetty ghat
گھاٹا	damage reduction deficiency loss
گھاٹی	permit
گھارا	bruise break
گھاڑنا	seize snatch usurp
گھاس	fodder straw grass
گھاسلیٹ	gaslight
گھاگ	wily veteran experience season sly old
گھاگرا	ghaghra
گھاگس	fool stupid
گھال	mixed tumult scatter destruction affliction jumble
گھالنا	destroy mix mingle ruin
گھام	sunshine heat sultriness
گھامڑ	lout indolent bumpkin unwise stupid foolish nitwit lazy idle
گھان	collection batch assemblage
گھانٹی	larynx
گھانس	grass
گھانی	sugar
گھائِل	wound injure
گھاؤ	sore wound cut
گھائوگھپ	squanderer embezzler embezzlement extravagant defalcation
گھائی	fraud cudgel cheat stratagem misguide
گھائِیں	supporter direction side companion helper fellow turn
گھبرا	confusion alarm
گھبراہٹ	confusion bewilderment alarm nervousness
گُھپا	cave
گھپلا	fraud jumble entanglement wrongdoing disorder embezzlement confusion mess error swindle
گُھپونا	pierce stab
گھٹ	water decrease heart mind
گُھٹ	suffocation stop
گھٹا	less subtraction reduce reduction
گُھٹا	choke throttle
گھٹّا	fissure open plug cleft breach gag cork callosity
گھٹانا	demote reduce devalue subtract diminish low degrade lessen allay decrease
گھٹاؤ	abatement deduction lower subtraction fall reduction depreciation
گُھٹاؤ	suffocation
گھٹتا	decline reduce fall
گھٹتی	fall decline
گُھٹن	stuffiness suffocation
گھٹنا	abate lessen decrease dwindle subside
گھٹوار	oarsman rower boatman
گھٹی	decline loss abatement diminution
گھٹیا	low inferior base mean mediocre cheap
گھر	habitation hole origin source den dwell etc home abode socket house
گھربسی	wife
گھرداری	housekeeping
گِھر	gather
گھرّا	pang agony death
گھراٹ	family house
گھرّاٹا	snort snore
گھرانا	gharana family dynasty house
گُھرّانا	snarl
گِھرائو	besiege surround blockade gherao
گُھرکنا	chide rebuff berate
گُھرکی	chide scold rebuff snarl
گھرنی	wife housewife
گِھرنی	pulley vertigo
گھروا	house
گھرَوندا	sandcastle wooden
گِھرّی	pulley
گھریا	crucible honeycomb
گھریلُو	homely home private domestic
گُھڑ	horse
گھڑا	pitcher
گھڑائی	make shape etc
گھڑت	shape make workmanship
گھڑنا	mould etc forge
گھڑی	ghurry moment time chronometer watch hour clock
گھڑیا	crucible uterus womb honeycomb
گھڑیال	clock bell gong alligator gharial
گھڑیالی	timekeeper
گھس	grass
گِھس	scratch rub
گُھس	penetration
گِھسا	abrade rub
گِھسّا	shock scratch deception push blow trick
گِھسانا	rub
گِھساؤ	abrasion erosion rub
گِھسائی	friction
گِھسٹ	drag
گِھسنا	rub whet
گُھسنا	interfere meddle penetrate enter
گِھسی	rub
گھسیارا	grass ignoramus
گھسیٹ	scrawl scribble pull
گھسیٹا	pull drag
گھسیٹنا	scribble pull endure etc
گُھسیڑنا	push cram stuff
گھسیلا	grassy
گھگرا	skirt ghaghra
گُھگوُّ	simpleton fool hooter owl siren
گھِگیانا	beseech implore
گُھلا	dissolve melt
گُھلاوٹ	softness mellowness dissolution
گُھلائو	melt softness solution
گُھلنا	melt dissolve
گھلوا	booty gain
گُھمانا	delude roll wheel circulate mislead brandish
گُھمائو	deception circle fraud turn
گھمس	stuffiness suffocation
گھمسان	intense congregation engagement bloodshe battle kill carnage crowd
گُھمکّڑ	wanderer
گُھمّن	vertigo giddiness
گھمنڈ	arrogance haughtiness pride
گھمنڈی	proud arrogant
گُھمیری	vertigo giddiness
گھن	bell mint sky gong cloud cymbal anvil full coin compact hammar sledge dense heavy
گِھن	disgust repugnance nausea abhorrence
گُھن	weevil woodlouse wormhole
گھنا	many much thick close dense
گُھنا	weevil
گُھنّا	cunne
گِھنّانا	abhor
گِھنائونا	loathsome nauseate disgust
گھنائوناپن	loathsomeness repulsiveness
گھنٹال	clock gong
گھنٹہ	ghanta bell gong period clock
گُھنڈی	doubt knob node tag ill button
گھنگروالا	etc
گُھنگنی	wheat etc
گھنگھور	frightful
گھنگھولنا	mix dissolve rinse
گھنی	thick dense
گُھنی	weevily
گِھنّی	vertigo giddiness
گُھنّی	silence
گھوپنا	stab
گھوٹالا	confusion disorder mess
گھوٹنا	polish mix choke shave pound grind press throttle
گُھور	stare star frown
گھور	horrible abyss utter much terrible dark deep etc extreme dread
گُھورا	sweeping rubbish
گُھورنا	ogle gaze scowl
گھوڑا	horse cock
گھوڑی	stepladder mare ricer
گُھوس	bribe
گھوسلا	nest
گھوسی	cowherd milkman
گھوش	noise tumult
گُھوگس	bastion
گھول	slop solution
گھولا	solution
گھولنا	melt dissolve
گھولوا	mixture confusion slop opiate solution
گُھوم	roll turn
گُھومتا	revolve move
گُھومنا	roll rotate revolve stroll whirl turn
گُھومنی	vertigo giddiness
گھونپنا	pierce stab
گُھونٹ	ghoont gulp draught
گُھونٹنا	gulp
گھونٹنا	throttle grind etc strangulate
گھونچا	bastion cage
گَھونچُو	blockhead idiot dunce fool
گُھونسا	box shock
گھونگا	shell seashell conch fool dunce snail mollusc
گُھونگر	curl
گھی	ghee
گِھیا	gourd pumpkin
گھیپنا	knead
گِھیچڑ	idiot fool
گھیر	boundary circle area compound
گھیرا	fence circle siege circumference
گھیراؤ	siege gherao pressurize blockade
گھیرنا	hedge encircle blockade surround fill occupy enclose
لا	less bring not un- in- without im- stratum give ir- no layer
لااُبالی	devil careless reckless indifferent
لاادری	sceptic unknown agnostic
لاادریت	agnosticism
لابُد	inevitably necessarily indispensably
لابُدی	inevitable necessary unavoidable indispensable compulsory essential
لاپروا	careless uncaring
لاپروائی	carelessness
لاتعداد	innumerable countless
لاتعلق	desolate detached irrelevant unconcerned
لاتعلقی	detachment irrelevance
لاجرَم	consequently necessarily doubtlessly inescapably
لاجُزو	indivisible
لاجنسی	asexual
لاجنسیت	asexuality
لاجواب	unparalleled matchless peerless
لاحاصل	useless fruitless unprofitable barren unavaile unproductive
لاحل	insoluble inexplicable unsolvable
لاخراج	rent
لادوا	incurable
لادینی	irreligious secular atheistic
لادینیت	irreligiousness secularism
لاریب	doubtless certainly undoubtedly unquestionably
لازبان	silent speechless quiet
لاسخن	speechless silent
لاشَے	nonentity non cheap zero space
لاطائل	absurd useless ineffectual
لاعلاج	incurable
لاعلمی	ignorance unawareness
لاکلام	quiet undoubtedly positively absolutely unquestionable silent
لامتناہی	limitless immense uncountable infinite
لاوارث	stray waif heirless
لاولد	childless
لایزال	eternal everlaste
لایعلم	ignorant
لایعنی	absurd meaningless
لایموت	deathless immortal
لاینحل	insoluble inextricable unsolvable
لاینفک	inseparable
لابہ	supplication request flattery coax prayer
لابھ	profit acquisition pick gain
لاپتا	lose
لات	kick leg
لاتعلُّق	irrelevant unconcerned
لاتعلُّقی	irrelevance
لاٹ	lot chief pillar lord minaret bundle rag collection steeple consignment
لاٹھ	minaret pillar pestle staff
لاٹھی	cudgel stick staff club lathi
لاثانی	unparalleled
لاج	bashfulness modesty
لاجوردی	azure ultramarine
لاجونت	bashful chaste modest
لاچار	disabled powerless impotent inevitably helpless perforce
لاچاری	helplessness inability poverty
لاچین	slave servant
لاحِق	affect affix supplement dependant adjoin touch contiguous appendage
لاحِقہ	affix adjoin
لاحَول	malediction imprecation curse
لاد	burden load
لادنا	load
لادیا	loader
لادین	heretic atheist unbeliever
لاڈ	overindulgence love pamper
لاڈلا	pet pamper etc dear
لاڈو	bride darling
لار	string row series
لارا	deception coax
لارالپّا	dodge procrastination
لارَیب	undoubtedly
لازِب	attach adhesive sticky
لازِم	important necessary indispensable incumbent compulsory
لازِمی	inevitable necessary unavoidable incumbent compulsory
لازوال	everlaste eternal
لاسا	gum altercation addiction row quarrel birdlime
لاسِلکی	wireless
لاش	corpse stiff
لاشُعاع	x
لاطِینی	latin
لاعلم	ignorant
لاغر	lean weak thin
لاغری	leanness weakness
لاف	brag boast
لافانی	immortal
لاکھ	lac heap although lakh
لاکھوں	innumerable lakh
لاگ	meditation enmity sorcery competition cost malice envy expense attention ratio love argument intrigue plot spell grudge jealousy conspiracy affinity relevance connection affection
لاگت	outlay cost expense expenditure
لاگُو	friend attach pursuer sympathizer enemy
لال	boy angry ruby beloved child dumb darling dear son enrage inflame
لالا	slave lustrous bright servant
لالٹین	lantern
لالچ	greed avidity covetousness temptation avarice
لالسا	eagerness longing avarice greed
لالہ	beloved brother tulip father son
لالی	daughter rouge reputation bleariness honour sister ruddiness redness
لالے	hope desire hopelessness
لام	battlefield bent curved line crooked ringlet
لاما	llama lama
لامُتناہی	limitless infinite
لامحدود	unlimited immense infinite
لامع	shin bright splendid
لامکاں	deity
لامی	curved
لانا	usher buy include purchase bring apply fetch introduce use procure yield present persuade produce
لانبا	long tall
لانک	measure quantity much heap chaff birdlime
لانگن	bestride leap
لانگنا	straddle bestride overleap
لاوا	lava
لاون	etc
لاونی	reap revenue
لاہا	profit gain advantage
لاہُوت	divinity
لائحہ	programme clause splendour index
لائق	good proper qualified learn deserve adapt convenient noble suitable due become decent congruous fit pertinent well worthy able competent capable
لائم	accuser censurer
لائو	rope bring gunpowder fire
لائولشکر	crowd
لائونی	harvest
لب	lip saliva margin shore edge brim
لُب	essence gist pith kernel
لبادہ	gown cloak pelisse
لباڑ	gossiper rogue false liar untrue unreal
لباڑیا	fabulist fibber gossiper liar
لِباس	disguise clothe attire apparel appearance dress garment
لبالب	brimful overflow
لبدار	mud
لُبدی	paste
لبدھڑ	glutinous gluey
لبدھڑا	dreg sediment etc
لبریز	brimful
لبریزی	overflow
لبڑ	fibber liar false vulgar
لبڑا	leave liar
لبڑُو	talkative false
لبلاب	bindweed lablab
لبلبہ	pancreas slimy sticky
لبلبی	pancreatic
لُبوب	pith essence
لبوں	lip
لبیب	wise judicious intelligent
لبیدا	cudgel club cane stick
لبیرا	tatter rag
لبیں	moustache
لُبھانا	tempt attract fascinate allure seduce entice charm
لُبھاؤ	attraction temptation allurement
لُبھاوا	enticement coax allurement
لپ	haste quickness
لِپا	plaster
لپّا	brocade slap
لپاڈُگّی	fight scuffle
لپاٹیا	fibber babbler liar
لپالپ	briskly quickly
لِپائی	plaster
لپٹ	scent blast odour gust flame
لِپٹ	wrap fold embrace
لِپٹا	fold embrace wrap
لِپٹانا	cuddle enfold hug embrace cling fold
لِپٹائو	stickiness gumminess adhesion
لِپٹنا	fight wrestle embrace pester entwine
لِپٹواں	fold
لپڑ	haste agility
لپّڑ	slap
لُپڑی	poultice plaster
لپسی	pottage pap
لپک	beat spring ache flash dart flame bounce shine nimbleness throb
لپکا	leap snatch jump addiction
لپکنا	spring rush catch run swoop hurry
لپکی	tack
لپّے	brocade
لپیٹ	range plait fraud coil entanglement blast difficulty confusion deception fillet twist cover compass bandage fold ambit
لپیٹا	fold embrace cover
لپیٹنا	wrap roll bind pack entangle fold enclose involve envelop furl
لپیٹواں	twisted ambiguous roundabout
لت	vice leg smear addiction
لتا	creeper tendril vine thread
لتّا	rag
لتاڑ	fatigue labour reproach rebuke insult
لتاڑنا	trample berate scold tread chide rebuke reproach upbraid
لُتپُتا	savoury
لُترا	mischief backbiter telltale sycophant
لتیانا	kick
لِتھاڑنا	coat smear
لِتھڑا	spatter besmear
لِتھیڑنا	besmear
لٹ	ringlet
لٹا	thin weak entangle
لِٹانا	fall knockout
لُٹانا	squander
لُٹاؤُ	spendthrift
لٹائی	reel
لٹپٹانا	tarry trip stagger loiter tremble
لُٹّس	sack pillage plunder
لٹک	air hang talk dangle style heedlessness fashion carelessness
لٹکا	hang incantation skill cleverness
لٹکانا	defer postpone hang
لٹکاؤ	hang suspension
لٹکن	pendant pendulum plummet
لٹکنا	swing hang
لٹنا	degenerate
لٹّو	top
لٹُوری	hair
لُٹیرا	plunderer highwayman robber
لٹھ	shaft stick ill wild uncivilized lat lathi
لٹّھا	beam long rafter
لٹھَیت	obstinate cudgel
لِثہّ	gum
لجّا	shame bashfulness modesty
لجاجت	entreaty adulation humility
لجالُو	bashful mimosa modest
لجانا	blush
لجاؤُ	bashful shy modest
لجِّت	ashamed
لِجلِجا	clammy viscous sticky soft flabby
لُجّہ	whirlpool eddy
لجیلا	bashful modest
لِجھڑی	afterbirth placenta
لُچ	wicked bare villainous stark naked evil
لُچّا	scoundrel rogue yob rascal blackguard
لچانا	bend bow crook
لچائو	inclination crookedness deflexion elasticity
لچر	absurd mean crude weak etc remark loose
لچک	flexibility adaptability resilience suppleness buoyancy elasticity
لچکا	shove push sprain strain twist jolt
لچکانا	bend move
لچکنا	bend
لچکیلا	flexible resilient elastic supple
لچنا	bend yield bow
لچیلا	elastic flexible
لچّھا	skein
لچّھن	doing manner sign
لِحاظ	deference reverence regard respect bashfulness consideration shame
لحد	tomb grave
لحظہ	moment
لحم	flesh meat
لحمیّات	protein(s
لحمیّہ	protein
لحن	modulation voice melody
لحی	jaw
لحیم	corpulent bulky fat
لِحیہ	beard
لـخت	part bit portion piece little
لـختے	somewhat little
لدا	load
لداوا	burden
لداؤ	cargo load
لدُنّی	infuse inspire
لُدُونت	softness elasticity
لدّھڑ	obtuse dull ugly stupid slow thick heavy
لڈُّو	gain laddu
لذّت	delight pleasure relish joy taste flavour
لذّتیت	epicurism
لذیذ	pleasant tasty delightful joyful savoury interest delicious
لُر	silly idiotic stupid
لرزاں	quiver shiver tremble tremulous
لرزِش	shiver tremble tremor
لرزنا	beat shiver palpitate shake quake tremble throb
لرزہ	tremor shake shiver earthquake quake fright terror quiver
لڑ	fight relation group lineage party thread chain etc quarrel
لڑجڑ	family child relation kinsman
لڑاکا	contentious riotous fighter belligerent quarrelsome
لڑائی	fight enmity battle war quarrel
لڑبڑانا	stagger falter stammer stutter
لڑکا	inexperienced simple thoughtless son bridegroom boy
لڑکی	daughter bride lass maiden girl
لڑکھڑانا	stagger stammer trip stumble
لڑکھڑاہٹ	stagger falter
لڑنا	wrangle fight wrestle contend etc quarrel agree squabble
لڑنت	wrestling contend fight
لڑنتیا	wrestler
لڑویّا	warrior fighter
لڑی	bead lineage etc
لڑیانا	etc
لُڑھیانا	seam
لزِج	clammy glutinous viscous sticky
لُزُوجت	viscosity stickiness clamminess
لُزُوم	requisiteness necessity compulsion adherence
لس	viscosity stickiness glutinousness
لِسان	language spokesperson speech idiom dialect diction
لسّان	eloquent garrulous chatterbox talkative linguist
لِسانی	linguistic lingual oral verbal
لسّانی	glibness eloquence
لِسانیات	linguistics
لسلسا	clammy viscous sticky
لسلسانا	agglutinate
لسّن	garlic
لسّی	lassi
لشکار	brightness shine tally halloo
لشکارا	glitter shine flash spark
لشکارنا	tally
لِشکانا	brighten polish
لشکر	throng army camp crowd encampment
لشکری	military soldier
لطافت	clearness light neatness delicacy fineness purity pleasantness elegance softness exquisiteness subtlety
لطائف	anecdote joke pleasantry jest
لُطف	benignity politeness pleasure favour relish courtesy taste gratification kindness enjoyment
لُطفی	adopt
لطمہ	blow buffet slap
لطیف	courteous benign subtle kind light transparent fine gentle benevolent delicious exquisite delicate graceful savoury affable slender agreeable thin elegant
لطیفہ	witticism pleasantry joke
لُعاب	saliva mucus
لعب	sport game play
لُعبت	doll girl portrait puppet statue
لعل	ruby son dear
لعلیں	ruby red
لعن	curse imprecate
لعنت	imprecation curse anathema disgrace reproof rebuke reproach
لعنتی	accursed curse
لعین	accursed execrable abominable
لُغات	dictionary lexicon word
لُغاتچہ	glossary
لُغت	dictionary glossary lexicon vocabulary expression word
لُغز	puzzle enigma riddle
لغزاں	shiver slip slippery
لغزِش	slip error stumble slide
لغزِیدہ	stagger
لغو	absurd unsubstantiated nonsense nonsensical gibberish frivolous preposterous
لُغوی	literal verbal
لغویت	absurdity frivolousness
لف	involution mixed mingle enclose complicate involve join fold include wrap add twist mix assemble
لفّاظ	garrulous loquacious eloquent talkative verbose
لفّاظی	volubility eloquence loquacity prolixity verbosity
لِفافہ	dropsy wrapper envelope bribe
لِفافیا	fragile insubstantial slender
لِفٹننٹ	lieutenant
لفڑا	quarrel squabble disputation
لفظ	promise word
لفظاً	verbally literally
لفظی	literal verbal
لفنگا	hooligan scoundrel rogue hoodlum yob blackguard
لفیف	friend fold wrap acquaintance crowd
لقا	pouter
لِقا	form meet countenance encounter face
لُقّا	roguish rogue intriguing vain
لقّات	haggard gaunt weak lean infirm
لقب	title epithet
لقلق	stork
لقلقہ	pomp influence eloquence show pronunciation weight
لُقمان	luqman
لُقمہ	mouthful morsel
لُقندرا	hooligan scoundrel rogue scamp blackguard
لک	shin bright clean sparkle
لُک	etc varnish firebrand flame
لُکا	conceal hide
لکّا	piece
لُکانا	hide conceal
لکد	kick
لکدزن	kicker
لکدکوب	kick
لکڑ	beam raft log wood
لکڑہارا	woodcutter woodman
لکڑی	club timber wood help stiff lean support log
لکشمی	beauty daughter wealth prosperity
لُکنا	hide conceal
لُکنت	stammer
لکّہ	speck stain spot part lump blot piece
لکیر	streak stripe line
لکیرکھینچنا	rule underline
لکھ	lakh
لِکھا	write pen fate destiny
لِکھاوٹ	inscription script write
لِکھائی	handwriting
لِکھت	indite inscription deed penmanship write calligraphy
لکھنا	understand behold perceive see
لِکھنا	enter write compose draft register copy record
لِکھنی	pen
لکھیرا	varnisher (
لگ	to during till
لگا	append connect etc relate
لگاہوا	attach fix appoint adjacent
لگّا	similarity friendship equality attachment affection
لگاتار	continually uninterruptedly constantly continuously incessantly
لگام	rein bridle
لگان	assessment rent
لگانا	unite fix apply plaster impose use join employ backbite hit connect plant impute spread attach
لگاوٹ	closeness attachment affection
لگاؤ	relation inclination connection attachment affection adherence
لُگائی	wife woman
لگن	love attachment marriage desire
لگنا	reach stick suit appear begin cost touch etc plant hit eye smart feel close
لگوا	paramour lover
لگی	affix desire love attach jealousy wistfulness wish
لگے	closely
لُل	fool stupid
للّا	boy son simpleton fool
للِت	beautiful pleasant pretty agreeable
للچانا	tantalize tempt covet
للچاہٹ	covetousness avarice greed
للک	enthusiasm
للکار	challenge threat
للکارنا	warn challenge threaten
للُّو	simpleton fool stupid
لِلّٰہی	unreasonable free unjust unfair unprovoked
للّی	daughter girl
لِلِیانا	flatter entreat
لم	no non
لِم	cause blemish knack charge reason trick
لمبا	great long expand tall
لمبان	tallness length
لمبانا	elongate lengthen
لمبائی	tallness length
لمبر	number trademark rank turn position
لمبروار	seriatim
لمبری	sly clever roguish
لُمبڑ	tall foolish
لمبو	tall
لمبوترا	oval cylindrical oblong
لمحاتی	momentary temporary short
لمڈا	boy minion catamite lad
لمعہ	shin brightness brilliance flash
لندپھند	fraud artifice deceit
لُنڈا	tailless headless helpless etc plant alone
لُنڈمُنڈ	tailless hairless
لنڈُورا	hairless unmarried friendless tailless bobtaile bald
لُنڈیانا	roll slip
لُنڈھانا	overturn spill
لنک	heap
لنگ	direction side limp line lame row lameness
لِنگ	phallus penis
لُنگ	lungi
لُنگاڑا	rake profligate
لنگر	alm langar cable anchor weight
لنگرلنگوٹ	underwear
لنگڑا	limp cripple lame
لنگڑانا	limp
لنگوٹ	underwear diaper loincloth
لنگوچا	sausage
لُنگی	lungi
لنگھانا	etc
لنگھن	fast transgress
لَو	attention love if flame longing attachment crave
لودینا	shine
لُو	heatstroke sunstroke
لو	take
لِوا	standard ensign banner
لواحقین	relative dependant relation
لوازم	requisite necessary baggage
لِواطت	pederasty sodomy
لوبان	olibanum frankincense
لوبھ	avarice temptation greed
لوبھی	greedy covetous
لوتھ	corpse
لوتھڑا	clot
لَوٹ	return
لُوٹ	booty rapine plunder robbery spoil loot
لوٹ	roll wallow
لوٹا	lota
لَوٹانا	return
لوٹن	tumble wallow tumbler
لَوٹنا	return invert
لُوٹنا	loot plunder rob
لوٹنا	wallow roll
لوٹنی	somersault
لُوٹیا	plunderer robber
لَوٹھا	sturdy stout young robust
لَوث	adulteration pollution stain blot contamination impurity mix defilement
لوچ	softness flexibility viscosity suppleness
لوچن	sight pupil eye
لَوح	tablet plank
لوری	lullaby
لوڑھنا	glean
لَوز	almond lozenge
لُوطی	pederast sodomite
لوک	world people folk region
لُوکا	spark fire flame
لَوکنا	shine flash glitter
لَوکی	bottle
لوگ	people folk
لُولا	cripple
لولا	pendant earring uvula
لَولاس	favour token kindness
لُولُو	pearl bugbear fool
لَولین	absorb engross
لَوم	accuse blame reproof
لُوم	vice baseness avarice meanness
لومڑ	fox
لومڑی	vixen
لَون	hue colour complexion
لَونا	reap cut
لونا	acidic salt salty saline
لونار	saltern
لُونبڑ	tall stupid
لَونڈا	boy lad slave catamite minion son
لَونڈہار	boyishness
لَونڈی	daughter girl lass
لَونڈے	boy
لَونگ	clove nose
لَونی	butter colourful
لُونی	brackish saltish
لُونیا	brackish saltish salter
لوہار	forger ironmonger blacksmith
لوئی	lump dough flannel
لُہاب	blaze burn
لِہاڑا	vile mean
لہاس	hawser cable
لہجہ	accent tone accentuation cadence pronunciation
لہٰذا	consequently so therefore
لہر	ache whim frenzy emotion fancy ecstasy burn smart fit undulation excitement wave
لہرانا	undulate fluctuate wave exult tantalize flutter
لہری	capricious merry strip emotional jovial whimsical
لہریا	wavy undulate serpentine
لہریلا	strip wavy
لہسن	garlic
لہف	grief
لہک	blaze flash glitter
لہکارنا	fondle
لہکانا	incite excite
لہکنا	glitter warble wave chirp shine flash
لہلوٹ	enchanted infatuated
لہلہانا	bloom flourish
لہلہاہٹ	bloom wave
لہنا	debt advantage gain fate luck
لہنگا	lehnga
لہُو	blood
لہو	pastime fun amusement
لہِیب	blaze flame
لئیق	capable able competent worthy
لئیم	mean miserly sordid vile base
لَے	immersion modulation air taste absorption tune melody
لے	well
لِیاقت	worth ability proficiency merit capability aptitude suitability
لیپ	ointment paste
لِیپاپوتا	finish complete
لِیپاپوتی	whitewash make
لِیپن	smear
لِیپنا	coat plaster besmear
لیٹنا	submit repose rest
لِیجھی	sediment refuse
لِیچڑ	stingy miser fussy sticky mean pertinacious niggard slow niggardly lazy
لِیچی	lychee
لِید	ass
لِیر	tatter shred rag
لَیس	finish accoutre prepare ready armed dress well sprig
لیس	glutinosity stickiness
لیسنا	spread
لِیک	line path custom rut track furrow
لیکن	however yet nevertheless but
لِیکھ	nit
لیکھ	luck fate endorsement write
لیکھا	state condition account rate ledger price fate luck
لیکھک	accountant author penman writer
لیکھے	regard
لَیل	night
لِیلا	sport lila phenomenon wonder play
لیلا	lamb kid
لِیلنا	gulp devour swallow
لَیلتہ	night
لِیم	peace consent harmony
لِیمُو	lime lemon
لَین	lane file line cantonment row
لِین	softness soft
لین	take receive
لینا	win catch buy assume borrow seize receive absorb accept get conquer adopt usurp obtain draw take drink capture
لِینت	softness smoothness
لینڈ	turd
لینڈی	cowardly stool
لیوا	udder taker
لیئی	gum
لِیے	for
ما	our i what not something mother which somewhat we no whatever
مابقیٰ	remainder
ماحصل	result harvest abstract inference conclusion produce
ماسبق	precede
ماسِوا	besides except moreover save
مافوق	superior well distinguish
ماقبل	last before precede prior
مالاکلام	inexpressible indescribable ineffable
مالایعنی	meaningless foolish
مالاینحل	insoluble inexplicable
ماوجب	necessary
مابدولت	i
ماباپ	parent
مابَین	intervene among between
ماپ	measure survey
ماپک	surveyor
ماپنا	measure survey
مات	checkmate death defeat
ماتا	smallpox intoxicate mother
ماتحت	subject inferior subordinate dependant
ماترا	beat atom measure quantity matra particle element trifle instant ingredient little
ماتم	mourn lamentation
ماتمی	funereal mourn mournful mourner
ماٹی	clay soil earth
ماٹھا	dull weak cowardly slow unlucky
ماٹُھو	monkey fool buffoon
ماثور	transmit
ماجِد	glorious honourable
ماجرا	state happen condition event occurrence circumstance narration incident
ماجُوج	magog
ماجُور	reward bless compensate
ماچا	bed platform
ماچاخر	stupid foolish
ماچین	china
ماحَول	surrounding environment
ماحَولیات	ecology environment
ماخذ	root origin source
ماخُوذ	take arrest apprehend accuse derive etc
ماد	lust love intoxication ecstasy passion drunkenness
مادام	madam
مادر	mother
مادرانہ	maternal motherly
مادری	maternal motherly matriarchal
مادّہ	essence matter puss substance
مادیان	mare
مادِّیّت	materialism
مادین	female
ماذنہ	minaret
مار	loss strike serpent bash damage temptation compulsion curse thrash remedy affliction snare antidote snake pain beat intimidation kill murder rage ache stroke enticement blow threat
مارا	kill slay beat lose ruin undo spoilt smitten
مارامار	rush fray tumult excess quickly hurriedly struggle constantly abundance bustle
ماراماری	riot fray
مارتَول	mallet hammer screwdriver
مارخور	markhor ibex
مارکہ	trademark mark symbol identification
مارگ	road remedy path antidote way
مارگی	wayfarer passenger
مارنا	brag lust appetite drub kill crack hit conceal break misappropriate reduce strike beat bang scold conquer etc steal pinch defeat subdue shoot destroy hide master punish mar usurp slay subjugate boast slaughter tolerate wink cut manhandle
مارنہارا	smiter slayer
ماری	kill beat slay
مارے	murder beat kill for
ماڑا	destitute rotten poor bad lean languid weak
ماڑنا	flatten rub
ماڑی	gruel weak balcony starch
مازُو	gallnut
ماس	swell flesh meat
ماست	curd
ماسی	maidservant charwoman aunt
ماشکی	water
ماشُو	strainer sieve
ماشہ	masha
ماضی	past
ماضیہ	past formerly heretofore
مافَوق	high superior
ماقُوائی	hydraulic
ماکڑا	spider lean thin spiderish
ماکُول	eatable devour eaten victual
ماکیاں	hen fowl
مال	good money cattle wealth revenue property garland merchandise square effect wreath etc finance rich possession
مالا	rosary bead garland mala necklace
مالامال	full rich
مالدار	wealthy rich affluent
مالداری	opulence wealthiness
مالش	punishment polish rub burnish massage nausea
مالِک	master god lord possessor landlord owner
مالکِحقیقی	almighty god
مالِکانہ	proprietary estate
مالِکی	royal ownership lordly
مالکیّت	possession proprietorship
مالگُزار	subject landholder tenant
مالُوف	familiar customary usual dear
مالی	monetary gardener financial mali horticulturist fiscal pecuniary
